n,base_rate,pr_auc,roc_auc,brier,log_loss,ece,p_at_5,p_at_10,outcome,model,year
1480,0.8033783783783783,0.9506637319901589,0.819756704499146,0.12911654176067855,0.40942088450401387,0.06430664201363952,1.0,0.99,B,lgbm,2024
1480,0.8445945945945946,0.9726011491646936,0.858184347826087,0.10776648857943433,0.3250930867839969,0.05160012026094839,1.0,1.0,B,lgbm,2025
925,0.8075675675675675,0.9665137331162499,0.8690793135087165,0.11386089063008567,0.3531088778986157,0.058977953282968405,1.0,1.0,B,lgbm,2026
37,0.7837837837837838,0.9194776044549462,0.7543103448275862,0.14751820312826708,0.46259167995406153,0.0989646726791715,1.0,1.0,B,logit,2020
1480,0.8263513513513514,0.9517889396104375,0.814349481882594,0.11382295264915522,0.3674478843372552,0.03535309116929504,0.9949999999999999,0.985,B,logit,2021
1517,0.8754119973632168,0.9648401150724508,0.7990971823803149,0.09804116007735268,0.31913199694867095,0.03534774636522049,0.9951219512195121,0.9902439024390244,B,logit,2022
1480,0.8155405405405406,0.9539035941547445,0.8146313780116599,0.12281156629030042,0.37553980163758377,0.05022286317552142,1.0,0.99,B,logit,2023
1480,0.8033783783783783,0.9602014773515631,0.8573175066979961,0.11584407142857459,0.36081071023392375,0.04955599985471539,1.0,0.9850000000000001,B,logit,2024
1480,0.8445945945945946,0.9715247110882427,0.8517078260869566,0.1074778674455145,0.32413196840696645,0.05647709821292337,1.0,1.0,B,logit,2025
925,0.8075675675675675,0.9695834695631108,0.8803077478453138,0.10988154248516041,0.33591445305343254,0.04939243757396728,1.0,1.0,B,logit,2026
